MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,LiveMoss,DeadMoss,UppDuffDep,LowDuffDep,LichDep,FuelbedDep,ExpDLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
A223-86-227,7/15/2005 8:34:35 AM,-2147483648,1,1,False,2,2,3,12,9,0,28,Default,,,,0m,,,,,,,,,
A223-86-227,7/15/2005 8:34:35 AM,-2147483647,1,2,False,1,0,0,9,7,2.5,18.5,Default,,,,30m,,,,,,,,,
127-B001,6/14/2005 3:59:45 PM,,,,,,,,,,,,,,,,,1,D Ostmann & C Reynar,J Northway,Surface layer burn severity,Surface layer code at point where duff plug was taken,,,True,
127-B001,6/14/2005 3:59:45 PM,-2147483648,1,1,False,4,0,6,5,11,0,,Default,,,,,,,,,,,,,
127-B001,6/14/2005 3:59:45 PM,-2147483647,1,2,False,0,2.5,4.5,6,4,0,,Default,,,,,,,,,,,,,
127-B001,6/27/2013 4:31:55 PM,,,,,,,,,,,,,,,,,1,J. Barnes,J. Northway,Surface layer burn severity,Surface layer code at point where duff plug was taken,,,True,
127-B001,6/27/2013 4:31:55 PM,-2147483648,1,1,False,,1,,19,,,20,Default,LD frozen,,LM,,,,,,,,,,
127-B001,6/27/2013 4:31:55 PM,-2147483647,1,2,False,,2,,4,18,,24,Default,Water at 11cm below surface,,LM,,,,,,,,,,
NOAT-ROK-B07,6/24/2011 1:59:20 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-ROK-B07,6/24/2011 1:59:20 PM,-2147483648,1,1,False,,2,3,6,6,,17,Default,scorched SPHAG; frozen below lower duff; plug did not extend to mineral soil,burned- scorched,DM,,,,,,,,,,
A255-90-320,7/14/2005 2:36:12 PM,,,,,,,,,,,,,,,,,1,Parker; Olson,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A255-90-320,7/14/2005 2:36:12 PM,-2147483648,1,1,False,3,0,1,12,8,0,24,Default,,,,0m,,,,,,,,,
A255-90-320,7/14/2005 2:36:12 PM,-2147483647,1,2,False,0,0,4,7,8,1,20,Default,,,,30m,,,,,,,,,
DENA-HQ-TX-15,6/22/2021 4:59:47 PM,,,,,,,,,,,,,,,,,1,J Hroback; M Neuser,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-15,6/22/2021 4:59:47 PM,-2147483648,1,1,False,0.25,2,2,5,2,,11.25,Default,,,HYSP,0m,,,,,,,,,
DENA-HQ-TX-15,6/22/2021 4:59:47 PM,-2147483647,1,2,False,0.2,0.3,0.5,1,3,,5,Default,,,HYSP,16m,,,,,,,,,
DENA-HQ-TX-15,6/28/2023 2:34:59 PM,,,,,,,,,,,,,,,,,1,,S. Stehn,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-15,6/28/2023 2:34:59 PM,1,1,1,False,0,3.2,1.5,2,3.2,0,9.9,Default,,,,0m,,,,,,,,,
DENA-HQ-TX-15,6/28/2023 2:34:59 PM,2,1,2,False,0,2,0.9,2.5,3.7,0,9.1,Default,,,,16m,,,,,,,,,
DENA-HZF-Z3-26,7/6/2003 5:58:01 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z3-26,7/6/2003 5:58:01 PM,-2147483648,1,0,False,1,7,4,90,13,,34,Default,,,,,,,,,,,,,
DENA-HZF-Z3-26,7/6/2003 5:58:01 PM,-2147483647,1,16,False,1,2,5,3,11,,22,Default,,,,,,,,,,,,,
DENA-HZF-Z3-26,6/14/2005 3:47:36 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z3-26,6/14/2005 3:47:36 PM,-2147483648,1,0,False,1,1.5,3.5,14,8,,28,Default,,,,,,,,,,,,,
DENA-HZF-Z3-26,6/14/2005 3:47:36 PM,-2147483647,1,16,False,2,1,1.5,3.5,40,,48,Default,,,,,,,,,,,,,
DENA-HZF-Z3-26,7/22/2009 5:03:17 PM,,,,,,,,,,,,,,,,,1,R Wilson; M Llanes,J Mitchell,Suface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-Z3-26,7/22/2009 5:03:17 PM,-2147483648,1,1,False,,,,,38,,38,Default,to permafrost,,,0m,,,,,,,,,
DENA-HZF-Z3-26,7/22/2009 5:03:17 PM,-2147483647,1,2,False,,,,,35,,35,Default,to permafrost,,,16m,,,,,,,,,
DENA-HZF-Z3-26,8/13/2021 6:35:20 PM,,,,,,,,,,,,,,,,,1,M Neuser; R Nessle; W Gautsch,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-Z3-26,8/13/2021 6:35:20 PM,-2147483648,1,1,False,,2,6.5,6.5,12,,27,Default,,,PLSC,0m,,,,,,,,,
